FID;Area;MUNCod;NOMMun;ZAT;UTAM
299;705516,253116999990000;11001,000000000000000;Bogotá;301,000000000000000;UTAM31
300;429581,153758000000000;11001,000000000000000;Bogotá;303,000000000000000;UTAM31
301;131780,617987000010000;11001,000000000000000;Bogotá;238,000000000000000;UTAM98
302;242879,008524000000000;11001,000000000000000;Bogotá;230,000000000000000;UTAM98
303;355988,678936999990000;11001,000000000000000;Bogotá;227,000000000000000;UTAM98
304;186088,713105000000000;11001,000000000000000;Bogotá;226,000000000000000;UTAM98
305;480373,284204999970000;11001,000000000000000;Bogotá;282,000000000000000;UTAM100
306;317519,118094999980000;11001,000000000000000;Bogotá;281,000000000000000;UTAM100
307;453078,327009000000000;11001,000000000000000;Bogotá;275,000000000000000;UTAM99
308;153404,800809000010000;11001,000000000000000;Bogotá;274,000000000000000;UTAM90
309;192941,511845000000000;11001,000000000000000;Bogotá;273,000000000000000;UTAM90
310;147760,679192000010000;11001,000000000000000;Bogotá;283,000000000000000;UTAM100
311;217170,063880000000000;11001,000000000000000;Bogotá;286,000000000000000;UTAM100
312;268370,844167999980000;11001,000000000000000;Bogotá;288,000000000000000;UTAM100
313;158429,444026999990000;11001,000000000000000;Bogotá;285,000000000000000;UTAM100
314;328370,241763000030000;11001,000000000000000;Bogotá;287,000000000000000;UTAM100
315;356600,500292000010000;11001,000000000000000;Bogotá;279,000000000000000;UTAM101
316;220475,886065000000000;11001,000000000000000;Bogotá;280,000000000000000;UTAM100
317;345965,088014999990000;11001,000000000000000;Bogotá;276,000000000000000;UTAM99
318;202488,069760999990000;11001,000000000000000;Bogotá;277,000000000000000;UTAM99
319;336017,749259000000000;11001,000000000000000;Bogotá;272,000000000000000;UTAM90
320;219343,969672000010000;11001,000000000000000;Bogotá;271,000000000000000;UTAM99
321;484887,744251000000000;11001,000000000000000;Bogotá;343,000000000000000;UTAM91
322;532914,855201000000000;11001,000000000000000;Bogotá;290,000000000000000;UTAM106
323;590692,896179000030000;11001,000000000000000;Bogotá;325,000000000000000;UTAM112
324;592130,228955000060000;11001,000000000000000;Bogotá;385,000000000000000;UTAM113
325;841031,312971999990000;11001,000000000000000;Bogotá;386,000000000000000;UTAM113
326;377896,325497000010000;11001,000000000000000;Bogotá;953,000000000000000;UTAM113
327;707714,234143999990000;11001,000000000000000;Bogotá;421,000000000000000;UTAM44
328;474595,492536999980000;11001,000000000000000;Bogotá;419,000000000000000;UTAM44
329;1012164,516850000000000;11001,000000000000000;Bogotá;326,000000000000000;UTAM111
330;796070,643030000040000;11001,000000000000000;Bogotá;327,000000000000000;UTAM109
331;180114,272468999990000;11001,000000000000000;Bogotá;291,000000000000000;UTAM106
332;116818,182809000010000;11001,000000000000000;Bogotá;220,000000000000000;UTAM103
333;901376,363985999950000;11001,000000000000000;Bogotá;219,000000000000000;UTAM103
334;575750,327110999960000;11001,000000000000000;Bogotá;218,000000000000000;UTAM22
335;334764,850569000000000;11001,000000000000000;Bogotá;217,000000000000000;UTAM22
336;148091,590892999990000;11001,000000000000000;Bogotá;225,000000000000000;UTAM98
337;500515,848250999990000;11001,000000000000000;Bogotá;292,000000000000000;UTAM106
338;153013,540402999990000;11001,000000000000000;Bogotá;174,000000000000000;UTAM22
339;344641,490608000020000;11001,000000000000000;Bogotá;222,000000000000000;UTAM22
340;527972,078969000020000;11001,000000000000000;Bogotá;295,000000000000000;UTAM106
341;608650,561051000030000;11001,000000000000000;Bogotá;298,000000000000000;UTAM104
342;541309,514860000000000;11001,000000000000000;Bogotá;294,000000000000000;UTAM104
343;191788,887989999990000;11001,000000000000000;Bogotá;293,000000000000000;UTAM106
344;1363079,426599999900000;11001,000000000000000;Bogotá;289,000000000000000;UTAM104
